DATE,Time,Temp
10/5/2019,20:11:00,74
10/5/2019,20:21:00,73
10/5/2019,20:36:00,73
10/5/2019,20:50:00,73
10/5/2019,20:53:00,73
10/5/2019,21:04:00,73
10/5/2019,21:19:00,73
10/5/2019,21:35:00,72
10/5/2019,21:45:00,72
10/5/2019,21:48:00,72
10/5/2019,21:51:00,72
10/5/2019,21:53:00,72
10/5/2019,22:02:00,72
10/5/2019,22:06:00,72
10/5/2019,22:17:00,72
10/5/2019,22:53:00,71
10/5/2019,23:53:00,70
10/6/2019,00:00:00,70
10/6/2019,00:40:00,71
10/6/2019,00:53:00,71
10/6/2019,01:53:00,70
10/6/2019,02:01:00,70
10/6/2019,02:35:00,70
10/6/2019,02:53:00,70
10/6/2019,03:53:00,70
10/6/2019,04:53:00,70
10/6/2019,05:53:00,69
10/6/2019,06:53:00,70
10/6/2019,07:53:00,71
10/6/2019,08:32:00,73
10/6/2019,08:53:00,73
10/6/2019,09:00:00,74
10/6/2019,09:53:00,75
10/6/2019,10:53:00,80
10/6/2019,11:53:00,80
10/6/2019,12:53:00,84
10/6/2019,13:53:00,86
10/6/2019,14:53:00,86
10/6/2019,15:53:00,86
10/6/2019,16:53:00,83
10/6/2019,17:53:00,81
10/6/2019,18:53:00,79
10/6/2019,19:53:00,77
10/6/2019,20:53:00,76
10/6/2019,21:53:00,75
10/6/2019,22:53:00,75
10/6/2019,23:53:00,74
10/7/2019,00:53:00,74
10/7/2019,01:53:00,74
10/7/2019,02:53:00,74
10/7/2019,03:53:00,74
10/7/2019,04:53:00,73
10/7/2019,05:53:00,73
10/7/2019,06:53:00,73
10/7/2019,07:32:00,72
10/7/2019,07:53:00,72
10/7/2019,08:32:00,69
10/7/2019,08:36:00,69
10/7/2019,08:43:00,68
10/7/2019,08:49:00,66
10/7/2019,08:53:00,67
10/7/2019,08:56:00,67
10/7/2019,09:08:00,67
10/7/2019,09:17:00,67
10/7/2019,09:28:00,68
10/7/2019,09:50:00,70
10/7/2019,09:53:00,69
10/7/2019,10:13:00,69
10/7/2019,10:53:00,69
10/7/2019,11:53:00,72
10/7/2019,12:53:00,73
10/7/2019,13:53:00,73
